"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","27-May-2020","        429.15","        426.50","        434.95","        415.00","        430.95","        432.50","        424.82","    7591378","          3224974944.90","     101268","    1572907","         20.72"
"M&amp;M","EQ","28-May-2020","        432.50","        429.50","        444.00","        423.85","        437.00","        440.40","        434.73","    7451065","          3239195825.85","     100254","    1506094","         20.21"
"M&amp;M","EQ","29-May-2020","        440.40","        434.00","        450.00","        431.10","        436.40","        436.35","        438.90","    9539037","          4186652314.00","     105176","    3524317","         36.95"
"M&amp;M","EQ","01-Jun-2020","        436.35","        441.85","        470.50","        441.50","        461.10","        461.10","        460.26","    9668052","          4449823429.00","     128606","    2120579","         21.93"
"M&amp;M","EQ","02-Jun-2020","        461.10","        465.10","        478.85","        460.85","        462.90","        462.85","        467.87","    8521141","          3986787838.85","     107017","    1431173","         16.80"
"M&amp;M","EQ","03-Jun-2020","        462.85","        470.00","        492.60","        466.50","        488.00","        485.10","        479.76","    9873439","          4736916366.35","     114030","    2523350","         25.56"
"M&amp;M","EQ","04-Jun-2020","        485.10","        485.30","        486.25","        469.40","        477.10","        478.45","        476.92","    5829515","          2780231253.50","      99539","    1080258","         18.53"
"M&amp;M","EQ","05-Jun-2020","        478.45","        479.00","        489.45","        475.40","        484.30","        484.20","        482.43","    6265849","          3022840032.35","      98856","    1496751","         23.89"
"M&amp;M","EQ","08-Jun-2020","        484.20","        485.50","        494.15","        468.25","        471.25","        470.85","        482.67","    5955229","          2874401795.65","      97007","    1299222","         21.82"
"M&amp;M","EQ","09-Jun-2020","        470.85","        473.80","        482.80","        463.30","        475.65","        478.75","        472.24","    7656758","          3615829533.80","     102350","    1549853","         20.24"
"M&amp;M","EQ","10-Jun-2020","        478.75","        476.15","        483.70","        468.85","        474.90","        472.05","        475.95","    4849036","          2307914711.80","     101470","    1281410","         26.43"
"M&amp;M","EQ","11-Jun-2020","        472.05","        472.00","        480.00","        469.50","        473.50","        474.55","        475.92","    4331785","          2061573055.60","      73370","    1104479","         25.50"
"M&amp;M","EQ","12-Jun-2020","        474.55","        457.00","        512.90","        456.10","        510.45","        508.45","        484.85","   18369324","          8906304693.70","     207214","    4600922","         25.05"
"M&amp;M","EQ","15-Jun-2020","        508.45","        505.15","        520.95","        498.70","        510.00","        508.15","        512.48","   17605886","          9022639157.85","     214315","    4708895","         26.75"
